Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,78.13,14.85,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
15.02,79.55,14.78,36.9,35.4,35.1,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
30.02,79.52,14.78,36.9,35.4,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
45.02,79.5,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
60.02,79.49,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
75.02,79.52,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
90.02,79.51,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
105.02,79.48,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
120.02,79.51,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
135.02,79.52,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open
