Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,54.0,16.57,36.9,34.5,34.2,34.2,34.2,34.5,34.5,34.4,0.0,0.0,0.0,0.9787234042553188,0.0,0.962264150943397,absent,absent,normal,normal,normal,wound,normal,normal,open
15.02,54.11,16.57,36.9,34.6,34.2,34.2,34.2,34.5,34.5,34.4,0.0,0.0,0.0,0.9787234042553188,0.0,0.962264150943397,absent,absent,normal,normal,normal,wound,normal,normal,open
30.02,54.09,16.67,36.9,34.6,34.2,34.2,34.2,34.5,34.5,34.4,10.0,0.002,0.0,0.9787234042553188,0.0,0.962264150943397,absent,absent,normal,normal,normal,wound,normal,normal,open
45.02,54.08,16.67,36.9,34.6,34.2,34.3,34.3,34.5,34.5,34.4,10.0,0.002,0.0,0.9787234042553188,0.0,0.962264150943397,absent,absent,normal,normal,normal,wound,normal,normal,open
60.02,54.1,16.67,36.9,34.6,34.2,34.3,34.3,34.5,34.5,34.4,20.0,0.004,0.0,0.9787234042553188,0.0,0.962264150943397,absent,absent,normal,normal,normal,wound,normal,normal,open
75.02,54.13,16.67,36.9,34.6,34.3,34.3,34.3,34.5,34.5,34.4,20.0,0.004,0.0,0.9787234042553188,0.0,0.962264150943397,absent,absent,normal,normal,normal,wound,normal,normal,open
90.02,54.16,16.67,36.9,34.6,34.3,34.3,34.3,34.5,34.5,34.4,30.0,0.006,0.0,0.9787234042553188,0.0,0.962264150943397,absent,absent,normal,normal,normal,wound,normal,normal,open
105.02,54.2,16.67,36.9,34.6,34.3,34.3,34.3,34.5,34.5,34.4,30.0,0.006,0.0,0.9787234042553188,0.0,0.962264150943397,absent,absent,normal,normal,normal,wound,normal,normal,open
120.02,54.24,16.67,36.9,34.6,34.3,34.3,34.3,34.5,34.5,34.4,40.0,0.008,0.0,0.9787234042553188,0.0,0.9811320754716986,absent,absent,normal,normal,normal,wound,normal,normal,open
135.02,54.27,16.67,36.9,34.6,34.3,34.3,34.3,34.5,34.5,34.4,40.0,0.008,0.0,0.9787234042553188,0.0,0.9811320754716986,absent,absent,normal,normal,normal,wound,normal,normal,open
