Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,54.0,16.57,36.8,34.1,33.5,33.6,33.6,33.9,33.9,34.4,0,0.0,0.0,1.0,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
15.02,54.45,16.48,36.8,34.1,33.5,33.6,33.6,33.9,33.9,34.4,20,0.004,0.0,1.0,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
30.02,54.52,16.48,36.8,34.1,33.5,33.6,33.6,33.9,33.9,34.4,30,0.006,0.0,1.0,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
45.02,54.56,16.48,36.8,34.1,33.5,33.6,33.6,33.9,33.9,34.4,40,0.008,0.0,1.0,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
60.02,54.86,16.48,36.7,34.1,33.5,33.6,33.6,33.9,33.9,34.4,50,0.01,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
75.02,54.94,16.57,36.7,34.1,33.5,33.6,33.6,33.9,33.9,34.4,60,0.012,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
90.02,55.05,16.57,36.7,34.1,33.5,33.6,33.6,33.9,33.9,34.4,60,0.012,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
105.02,55.16,16.57,36.7,34.1,33.5,33.6,33.6,33.9,33.9,34.4,70,0.014,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
120.02,55.32,16.48,36.7,34.1,33.5,33.5,33.5,33.9,33.9,34.4,80,0.016,0.0,1.0,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
135.02,55.44,16.48,36.7,34.1,33.5,33.5,33.5,33.9,33.9,34.4,90,0.018,0.0,1.0,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
150.02,56.54,16.39,36.7,34.1,33.5,33.5,33.5,33.9,33.9,34.4,90,0.018,0.0,1.0,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
165.02,55.9,16.3,36.7,34.1,33.5,33.5,33.5,33.9,33.9,34.4,100,0.02,0.0,1.0,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
180.02,56.07,16.3,36.7,34.1,33.5,33.5,33.5,33.9,33.9,34.4,110,0.022,0.0,0.975,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
195.02,56.23,16.22,36.7,34.1,33.5,33.5,33.5,33.9,33.9,34.4,120,0.024,0.0,0.95,0.0,0.956521739,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
210.02,56.38,16.13,36.7,34.1,33.5,33.5,33.5,33.9,33.9,34.4,120,0.024,0.0,0.95,0.0,0.913043478,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
225.02,56.52,16.04,36.7,34.1,33.5,33.5,33.5,33.9,33.9,34.4,130,0.026,0.0,0.95,0.0,0.913043478,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open
