Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,54,16.3,36.8,34.3,33.8,33.8,33.8,34.1,34.1,34.4,0,0,0,1,0,1,34.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
15.02,54.44,21.9,36.8,34.5,37.3,36.5,36.5,34.6,59,67.2,0,0,0,0.976190476,0,0.958333333,67.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
30.02,53.58,21.74,36.8,35.1,39,38.8,38.8,36,56,39.6,0,0,0,0.952380952,0,0.958333333,39.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
45.02,55.09,21.43,36.9,35.7,39.1,39.1,39.1,37.1,49.1,38.9,0,0,0,0.928571429,0,0.916666667,38.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
60.02,55.14,21.13,36.9,36.2,39.1,39.1,39.1,37.7,45,38.6,0,0,0,0.904761905,0,0.916666667,38.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
75.02,55.15,20.83,36.9,36.6,38.7,38.8,38.8,37.9,42.5,38.4,0,0,0,0.880952381,0,0.875,38.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
90.02,55.15,20.55,36.9,36.9,38.3,38.4,38.4,38,40.9,38.1,0,0,0,0.880952381,0,0.875,38.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
105.02,55.14,20.27,36.9,37,38,38,38,38,39.9,38,0,0,0,0.880952381,0,0.875,38,absent,absent,normal,normal,normal,wound,normal,abnormal,open
120.02,55.15,20.13,36.9,37.1,37.7,37.7,37.7,37.9,39.3,37.8,0,0,0,0.857142857,0,0.833333333,37.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
135.02,55.15,20,36.9,37.2,37.5,37.5,37.5,37.8,38.9,37.7,0,0,0,0.857142857,0,0.833333333,37.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open
150.02,55.17,19.87,37,37.2,37.3,37.4,37.4,37.6,38.7,37.6,0,0,0,0.833333333,0,0.833333333,37.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
165.02,55.2,19.74,37,37.2,37.2,37.2,37.2,37.5,38.5,37.5,0,0,0,0.833333333,0,0.833333333,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
180.02,55.22,19.61,37,37.2,37.1,37.1,37.1,37.4,38.4,37.5,0,0,0,0.833333333,0,0.833333333,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
195.02,55.23,19.48,37,37.2,37,37.1,37.1,37.3,38.3,37.4,0,0,0,0.80952381,0,0.791666667,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
210.02,55.23,19.35,37,37.2,37,37,37,37.2,38.2,37.3,0,0,0,0.80952381,0,0.791666667,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
225.02,55.22,19.23,37,37.2,36.9,36.9,36.9,37.1,38.2,37.3,0,0,0,0.80952381,0,0.791666667,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
240.02,55.21,19.23,37,37.2,36.9,36.9,36.9,37,38.1,37.3,0,0,0,0.80952381,0,0.791666667,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
255.02,55.17,19.23,37,37.1,36.8,36.8,36.8,37,38.1,37.2,0,0,0,0.80952381,0,0.791666667,37.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
270.02,55.13,19.23,37,37.1,36.8,36.8,36.8,36.9,38,37.2,0,0,0,0.80952381,0,0.791666667,37.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
285.02,55.09,19.23,37.1,37.1,36.8,36.8,36.8,36.9,38,37.1,0,0,0,0.80952381,0,0.791666667,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
300.02,55.06,19.23,37.1,37.1,36.7,36.7,36.7,36.9,38,37.1,0,0,0,0.80952381,0,0.791666667,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
315.02,55.05,19.35,37.1,37,36.7,36.7,36.7,36.8,37.9,37.1,0,0,0,0.80952381,0,0.791666667,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
330.02,55.04,19.35,37.1,37,36.7,36.7,36.7,36.8,37.9,37.1,0,0,0,0.80952381,0,0.791666667,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
345.02,55.04,19.35,37.1,37,36.7,36.7,36.7,36.8,37.9,37,0,0,0,0.80952381,0,0.791666667,37,absent,absent,normal,normal,normal,wound,normal,abnormal,open
360.02,55.04,19.48,37.1,37,36.6,36.6,36.6,36.7,37.9,37,0,0,0,0.80952381,0,0.791666667,37,absent,absent,normal,normal,normal,wound,normal,abnormal,open
375.02,55.08,19.48,37.1,36.9,36.6,36.6,36.6,36.7,37.8,37,0,0,0,0.80952381,0,0.791666667,37,absent,absent,normal,normal,normal,wound,normal,abnormal,open
390.02,55.11,19.48,37.1,36.9,36.6,36.6,36.6,36.7,37.8,37,0,0,0,0.80952381,0,0.791666667,37,absent,absent,normal,normal,normal,wound,normal,abnormal,open
405.02,55.15,19.35,37.1,36.9,36.6,36.6,36.6,36.7,37.8,37,0,0,0,0.80952381,0,0.791666667,37,absent,absent,normal,normal,normal,wound,normal,abnormal,open
420.02,55.17,19.35,37.1,36.9,36.6,36.6,36.6,36.7,37.8,36.9,0,0,0,0.80952381,0,0.791666667,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
435.02,55.18,19.23,37.1,36.9,36.6,36.6,36.6,36.7,37.8,36.9,0,0,0,0.785714286,0,0.791666667,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
450.02,55.18,19.23,37.2,36.8,36.6,36.6,36.6,36.7,37.8,36.9,0,0,0,0.785714286,0,0.791666667,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
465.02,55.17,19.23,37.2,36.8,36.5,36.5,36.5,36.6,37.8,36.9,0,0,0,0.785714286,0,0.791666667,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
480.02,55.16,19.11,37.2,36.8,36.5,36.5,36.5,36.6,37.7,36.9,0,0,0,0.785714286,0,0.791666667,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
495.02,55.13,19.11,37.2,36.8,36.5,36.5,36.5,36.6,37.7,36.9,0,0,0,0.785714286,0,0.791666667,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
510.02,55.09,19.11,37.2,36.8,36.5,36.5,36.5,36.6,37.7,36.9,0,0,0,0.785714286,0,0.791666667,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
525.02,55.04,19.23,37.2,36.8,36.5,36.5,36.5,36.6,37.7,36.9,0,0,0,0.785714286,0,0.791666667,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
540.02,55.01,19.23,37.2,36.8,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.785714286,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
555.02,54.99,19.23,37.2,36.8,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.80952381,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
570.02,54.97,19.35,37.2,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.80952381,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
585.02,54.96,19.35,37.2,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.80952381,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
600.02,54.97,19.35,37.2,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.80952381,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
615.02,54.99,19.35,37.2,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.80952381,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
630.02,55.01,19.35,37.3,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.80952381,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
645.02,55.04,19.35,37.3,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.80952381,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
660.02,55.06,19.23,37.3,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.785714286,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
675.02,55.08,19.23,37.3,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.785714286,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
690.02,55.07,19.23,37.3,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.785714286,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
705.02,55.07,19.11,37.3,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.785714286,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
720.02,55.04,19.11,37.3,36.7,36.5,36.5,36.5,36.6,37.7,36.8,0,0,0,0.785714286,0,0.791666667,36.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
