Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,85.25,17.75,36.9,35.5,35.3,35.3,35.3,35.5,35.5,34.4,0,0,0,1,0,1,34.4,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
15.02,85.2,26.09,36.9,37.8,58.5,84.3,56.4,69.9,41,76.9,0,0,0,0.97826087,0,0.960784314,76.9,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
30.02,85.54,25.86,37,40.5,56.6,59.5,56.4,66.8,45.3,49.4,0,0,0,0.97826087,0,0.960784314,49.4,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
45.02,86.78,25.42,37.1,41.8,50.4,50.7,50.8,58,46,47.4,0,0,0,0.956521739,0,0.960784314,47.4,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
60.02,86.91,25,37.1,42.5,47.4,47.5,47.6,51.6,46,46,0,0,0,0.934782609,0,0.941176471,46,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
75.02,87,24.59,37.2,42.7,45.5,45.7,45.6,47.4,45.5,44.8,0,0,0,0.913043478,0,0.921568627,44.8,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
90.02,87.05,24.19,37.2,42.7,44.2,44.5,44.3,44.8,44.6,43.9,0,0,0,0.891304348,0,0.882352941,43.9,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
105.02,87.03,23.81,37.3,42.7,43.4,43.7,43.4,43.1,43.7,43.2,0,0,0,0.869565217,0,0.882352941,43.2,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
120.02,87,23.62,37.3,42.6,42.7,43.1,42.7,42.1,43,42.6,0,0,0,0.869565217,0,0.862745098,42.6,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
135.02,86.94,23.44,37.4,42.4,42.2,42.7,42.2,41.4,42.3,42.2,0,0,0,0.847826087,0,0.843137255,42.2,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
150.02,86.88,23.26,37.4,42.1,41.8,42.3,41.8,41,41.8,41.8,0,0,0,0.847826087,0,0.843137255,41.8,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
165.02,86.82,23.08,37.4,41.8,41.5,42,41.5,40.7,41.4,41.5,0,0,0,0.847826087,0,0.843137255,41.5,absent,absent,normal,normal,wound,wound,normal,normal|abnormal,open
