Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,68.06,12.5,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
15.02,68.87,12.45,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
30.02,68.8,12.4,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
45.02,68.7,12.4,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
60.02,68.59,12.4,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
75.02,68.5,12.35,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
90.02,68.42,12.35,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
105.02,68.36,12.4,36.8,35,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
120.02,68.32,12.4,36.7,35,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
135.02,68.3,12.4,36.7,35,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.964285714,0,0.967741935,absent,absent,normal,normal,normal,normal,abnormal,absent,closed
