Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,65.86,15.23,36.9,35.0,34.8,34.8,34.8,35.0,35.0,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
15.02,65.75,15.23,36.9,35.1,34.8,34.8,34.8,35.0,35.0,34.4,0,0,0.0,1.0,0.0,1.0,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
30.02,65.74,15.31,36.9,35.1,34.8,34.9,34.9,35.0,35.0,34.4,0,0,0.0,1.0,0.0,1.0,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
45.02,65.71,15.31,36.9,35.1,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,1.0,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
60.02,65.67,15.31,36.9,35.1,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
75.02,65.6,15.23,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
90.02,65.54,15.23,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
105.02,65.5,15.23,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
120.02,65.51,15.15,36.9,35.2,34.9,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
135.02,65.48,15.15,36.9,35.2,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
150.02,65.43,15.15,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
165.02,65.38,15.15,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
180.02,65.36,15.08,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
195.02,65.38,15.08,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
210.02,65.35,15.08,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
225.02,65.3,15.08,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
240.02,65.28,15.08,36.9,35.3,35.0,35.1,35.1,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
255.02,65.3,15.08,36.9,35.3,35.0,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
270.02,65.3,15.08,36.9,35.3,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
285.02,65.28,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
300.02,65.25,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
315.02,65.27,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
330.02,65.27,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
345.02,65.28,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
360.02,65.24,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
375.02,65.23,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
390.02,65.24,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed
