Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,71.94,14.71,36.9,34.7,34.3,34.3,34.3,34.7,34.7,34.4,0,0,0,0.460674157,0,0.450980392,absent,present,normal,normal,normal,normal,absent,abnormal,open
15.02,72.97,14.71,36.9,34.7,34.3,34.4,34.4,34.7,34.7,34.4,0,0,0,0.460674157,0,0.460784314,absent,present,normal,normal,normal,normal,absent,abnormal,open
30.02,74.3,14.78,36.9,34.8,34.3,34.4,34.4,34.7,34.7,34.4,0,0,0,0.460674157,0.009803922,0.460784314,absent,present,normal,normal,normal,normal,absent,abnormal,open
45.02,75.7,14.78,36.9,34.8,34.3,34.4,34.4,34.7,34.7,34.4,0,0,0,0.460674157,0.009803922,0.460784314,absent,present,normal,normal,normal,normal,absent,abnormal,open
60.02,77.01,14.78,36.8,34.8,34.4,34.4,34.4,34.7,34.7,34.4,0,0,0,0.460674157,0.009803922,0.460784314,absent,present,normal,normal,normal,normal,absent,abnormal,open
75.02,78.39,14.71,36.8,34.8,34.4,34.4,34.4,34.7,34.7,34.4,0,0,0,0.449438202,0.009803922,0.450980392,absent,present,normal,normal,normal,normal,absent,abnormal,open
90.02,79.6,14.63,36.8,34.8,34.4,34.4,34.4,34.7,34.7,34.4,0,0,0,0.449438202,0.009803922,0.450980392,absent,present,normal,normal,normal,normal,absent,abnormal,open
105.02,80.66,14.56,36.8,34.8,34.3,34.4,34.4,34.7,34.7,34.4,0,0,0,0.449438202,0.009803922,0.450980392,absent,present,normal,normal,normal,normal,absent,abnormal,open
120.02,81.15,14.49,36.8,34.8,34.3,34.4,34.4,34.7,34.7,34.4,0,0,0,0.449438202,0.009803922,0.450980392,absent,present,normal,normal,normal,normal,absent,abnormal,open
135.02,82.39,14.42,36.8,34.8,34.3,34.4,34.4,34.7,34.7,34.4,0,0,0,0.438202247,0.009803922,0.450980392,absent,present,normal,normal,normal,normal,absent,abnormal,open
150.02,82.92,14.35,36.8,34.8,34.3,34.3,34.3,34.7,34.7,34.4,0,0,0,0.438202247,0.009803922,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
165.02,83.32,14.29,36.8,34.8,34.3,34.3,34.3,34.7,34.7,34.4,0,0,0,0.438202247,0.009803922,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
180.02,84.29,14.29,36.8,34.8,34.3,34.3,34.3,34.6,34.6,34.4,0,0,0,0.438202247,0.009803922,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
195.02,84.65,14.22,36.8,34.8,34.3,34.3,34.3,34.6,34.6,34.4,0,0,0,0.438202247,0.019607843,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
210.02,84.93,14.22,36.8,34.8,34.3,34.3,34.3,34.6,34.6,34.4,0,0,0,0.438202247,0.009803922,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
225.02,85.17,14.22,36.8,34.8,34.3,34.3,34.3,34.6,34.6,34.4,0,0,0,0.438202247,0.019607843,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
240.02,85.37,14.22,36.8,34.8,34.2,34.3,34.3,34.6,34.6,34.4,10,0.002,0,0.438202247,0.029411765,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
255.02,85.62,14.22,36.8,34.8,34.2,34.3,34.3,34.6,34.6,34.4,10,0.002,0,0.438202247,0.039215686,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
270.02,83.61,14.22,36.8,34.7,34.2,34.2,34.2,34.6,34.6,34.4,10,0.002,0,0.438202247,0.049019608,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
285.02,86.54,14.22,36.8,34.7,34.2,34.2,34.2,34.5,34.5,34.4,10,0.002,0,0.438202247,0.058823529,0.441176471,absent,present,normal,normal,normal,normal,absent,abnormal,open
300.02,86.41,14.29,36.8,34.7,34.2,34.2,34.2,34.5,34.5,34.4,10,0.002,0,0.438202247,0.049019608,0.450980392,absent,present,normal,normal,normal,normal,absent,abnormal,open
315.02,86.45,14.35,36.8,34.7,34.2,34.2,34.2,34.5,34.5,34.4,10,0.002,0,0.438202247,0.058823529,0.450980392,absent,present,normal,normal,normal,normal,absent,abnormal,open
