Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,0,0,36.9,34.4,33.9,33.9,33.9,34.3,34.3,34.4,0,0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
15.02,0,0,36.9,34.4,33.9,34,34,34.3,34.3,34.4,10,0.002,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
30.02,0,0,36.9,34.4,34,34,34,34.3,34.3,34.4,20,0.004,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
45.02,0,0,36.9,34.4,34,34,34,34.3,34.3,34.4,20,0.004,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
60.02,0,0,36.9,34.4,34,34,34,34.3,34.3,34.4,30,0.006,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
75.02,0,0,36.9,34.4,34,34,34,34.3,34.3,34.4,40,0.008,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
90.02,0,0,36.9,34.5,34,34,34,34.4,34.4,34.4,40,0.008,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
105.02,0,0,36.9,34.5,34,34.1,34.1,34.4,34.4,34.4,50,0.01,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
120.02,0,0,36.9,34.5,34,34.1,34.1,34.4,34.4,34.4,50,0.01,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
135.02,0,0,36.9,34.5,34,34.1,34.1,34.4,34.4,34.4,60,0.012,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
150.02,0,0,36.9,34.5,34.1,34.1,34.1,34.4,34.4,34.4,70,0.014,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
165.02,0,0,36.9,34.5,34.1,34.1,34.1,34.4,34.4,34.4,70,0.014,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
180.02,0,0,36.9,34.5,34.1,34.1,34.1,34.4,34.4,34.4,80,0.016,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
195.02,0,0,36.9,34.5,34.1,34.1,34.1,34.4,34.4,34.4,90,0.018,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
210.02,0,0,36.9,34.5,34.1,34.1,34.1,34.4,34.4,34.4,90,0.018,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
225.02,0,0,36.8,34.5,34.1,34.1,34.1,34.4,34.4,34.4,100,0.02,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
240.02,0,0,36.8,34.5,34.1,34.1,34.1,34.4,34.4,34.4,100,0.02,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
255.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,110,0.022,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
270.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,110,0.022,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
285.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,120,0.024,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
300.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,130,0.026,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
315.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,130,0.026,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
330.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,140,0.028,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
345.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,140,0.028,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
360.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,150,0.03,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
375.02,0,0,36.8,34.6,34.1,34.1,34.1,34.4,34.4,34.4,150,0.03,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt
