Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,71.48,14.63,36.9,35.0,34.6,34.6,34.6,34.9,34.9,34.4,0,0.0,0.0,0.49,0.0,0.495327103,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
15.02,73.12,14.63,36.9,35.0,34.6,34.7,34.7,34.9,34.9,34.4,0,0.0,0.0,0.49,0.0,0.495327103,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
30.02,76.83,14.56,36.9,35.0,34.6,34.7,34.7,34.9,34.9,34.4,0,0.0,0.01,0.49,0.0,0.495327103,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
45.02,82.75,14.35,36.9,35.0,34.6,34.7,34.7,34.9,34.9,34.4,0,0.0,0.01,0.48,0.0,0.485981308,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
60.02,83.24,14.15,36.9,35.0,34.6,34.7,34.7,34.9,34.9,34.4,0,0.0,0.01,0.47,0.0,0.476635514,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
75.02,84.54,13.95,36.9,35.0,34.6,34.7,34.7,34.9,34.9,34.4,0,0.0,0.03,0.47,0.0,0.46728972,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
90.02,85.54,13.82,36.8,35.0,34.6,34.6,34.6,34.9,34.9,34.4,0,0.0,0.08,0.47,0.0,0.46728972,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
105.02,86.14,13.76,36.8,35.0,34.6,34.6,34.6,34.9,34.9,34.4,0,0.0,0.11,0.47,0.0,0.46728972,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
120.02,86.92,13.76,36.8,35.0,34.6,34.6,34.6,34.9,34.9,34.4,0,0.0,0.14,0.48,0.0,0.476635514,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
135.02,87.1,13.95,36.8,35.0,34.6,34.6,34.6,34.9,34.9,34.4,0,0.0,0.17,0.49,0.0,0.495327103,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
150.02,87.48,14.29,36.8,35.0,34.6,34.6,34.6,34.8,34.8,34.4,0,0.0,0.2,0.5,0.0,0.504672897,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
165.02,87.98,14.56,36.8,35.0,34.5,34.6,34.6,34.8,34.8,34.4,0,0.0,0.23,0.52,0.0,0.514018692,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
180.02,88.71,14.85,36.8,35.0,34.5,34.5,34.5,34.8,34.8,34.4,0,0.0,0.26,0.54,0.0,0.53271028,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
195.02,89.76,15.15,36.8,35.0,34.5,34.5,34.5,34.8,34.8,34.4,0,0.0,0.28,0.54,0.0,0.542056075,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
210.02,90.04,15.46,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0.0,0.31,0.56,0.0,0.551401869,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
225.02,90.39,15.71,36.8,34.9,34.5,34.5,34.5,34.7,34.7,34.4,0,0.0,0.34,0.57,0.0,0.570093458,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
240.02,90.73,15.87,36.8,34.9,34.4,34.5,34.5,34.7,34.7,34.4,0,0.0,0.35,0.57,0.0,0.570093458,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
255.02,90.91,16.04,36.8,34.9,34.4,34.4,34.4,34.7,34.7,34.4,0,0.0,0.37,0.58,0.0,0.588785047,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
270.02,92.39,16.22,36.8,34.9,34.4,34.4,34.4,34.7,34.7,34.4,0,0.0,0.41,0.59,0.0,0.588785047,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
285.02,92.47,16.48,36.8,34.9,34.4,34.4,34.4,34.7,34.7,34.4,0,0.0,0.44,0.61,0.0,0.607476636,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
300.02,92.93,16.67,36.8,34.8,34.4,34.4,34.4,34.6,34.6,34.4,0,0.0,0.45,0.62,0.0,0.61682243,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
315.02,93.2,16.85,36.8,34.8,34.4,34.4,34.4,34.6,34.6,34.4,0,0.0,0.48,0.63,0.0,0.626168224,absent,present,normal,normal,normal,normal,absent,absent,open,TRUE
