Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,78.13,14.85,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
15.02,79.55,14.78,36.9,35.4,35.1,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
30.02,79.52,14.78,36.9,35.4,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
45.02,79.5,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
60.02,79.49,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
75.02,79.52,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
90.02,79.51,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
105.02,79.48,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
120.02,79.51,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
135.02,79.52,14.78,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
150.02,79.48,14.78,36.9,35.5,35.2,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
165.02,79.5,14.78,36.9,35.6,35.2,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
180.02,79.51,14.78,36.9,35.6,35.2,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
195.02,79.47,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
210.02,79.46,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
225.02,79.5,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
240.02,79.46,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.96875,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
255.02,79.44,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
270.02,79.46,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
285.02,79.45,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
300.02,79.43,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
315.02,79.44,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
330.02,79.46,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
345.02,79.41,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
360.02,79.42,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9655172413793104,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
375.02,79.44,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
390.02,79.4,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
405.02,79.4,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
420.02,79.42,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
435.02,79.41,14.85,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
450.02,79.38,14.85,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
465.02,79.41,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
480.02,79.4,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
495.02,79.36,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
510.02,79.37,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
525.02,79.38,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
540.02,79.34,14.85,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
555.02,79.33,14.85,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
570.02,79.38,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
585.02,79.34,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,0.9843750000000004,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
600.02,79.3,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
615.02,79.31,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
630.02,79.31,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
645.02,79.27,14.85,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
660.02,79.29,14.85,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
675.02,79.32,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
690.02,79.27,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
705.02,79.24,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,0.9827586206896556,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
720.02,79.26,14.78,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,0.0,0.0,0.0,1.0,0.015625,1.0,absent,absent,normal,normal,normal,normal,normal,normal,open,TRUE
