Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,81.3,14.35,36.9,35.2,35.0,35.0,35.0,35.2,35.2,34.4,0,0.0,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
15.02,81.72,14.35,36.9,35.2,35.1,35.1,35.1,35.3,35.3,34.4,20,0.004,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
30.02,81.89,14.35,36.9,35.3,35.1,35.1,35.1,35.3,35.3,34.4,30,0.006,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
45.02,81.95,14.35,36.9,35.3,35.1,35.1,35.1,35.3,35.3,34.4,50,0.01,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
60.02,82.11,14.29,36.9,35.4,35.2,35.2,35.2,35.4,35.4,34.4,60,0.012,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
75.02,82.18,14.29,36.9,35.4,35.2,35.2,35.2,35.4,35.4,34.4,70,0.014,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
90.02,82.29,14.29,36.9,35.4,35.2,35.2,35.2,35.4,35.4,34.4,80,0.016,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
105.02,82.43,14.29,36.9,35.5,35.2,35.2,35.2,35.4,35.4,34.4,90,0.018,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
120.02,82.46,14.29,36.9,35.5,35.2,35.3,35.3,35.5,35.5,34.4,100,0.02,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
135.02,82.64,14.29,36.9,35.5,35.3,35.3,35.3,35.5,35.5,34.4,110,0.022,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
150.02,82.68,14.29,36.9,35.5,35.3,35.3,35.3,35.5,35.5,34.4,120,0.024,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
165.02,82.82,14.29,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,120,0.024,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
180.02,82.9,14.35,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,130,0.026,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
195.02,83.02,14.35,36.9,35.6,35.3,35.3,35.3,35.5,35.5,34.4,140,0.028,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
210.02,83.19,14.29,36.9,35.6,35.3,35.4,35.4,35.5,35.5,34.4,150,0.03,0.0,1.0,0.0,0.984848485,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
225.02,83.2,14.29,36.9,35.6,35.3,35.4,35.4,35.5,35.5,34.4,160,0.032,0.0,1.0,0.0,0.984848485,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
240.02,83.4,14.29,36.9,35.6,35.4,35.4,35.4,35.6,35.6,34.4,170,0.034,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
255.02,83.4,14.35,36.9,35.6,35.4,35.4,35.4,35.6,35.6,34.4,180,0.036,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
270.02,83.87,14.35,36.9,35.7,35.4,35.4,35.4,35.6,35.6,34.4,190,0.038,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
285.02,84.02,14.35,36.9,35.7,35.4,35.4,35.4,35.6,35.6,34.4,200,0.04,0.0,1.0,0.0,1.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
300.02,84.06,14.35,36.9,35.7,35.4,35.4,35.4,35.6,35.6,34.4,210,0.042,0.0,1.0,0.0,0.984848485,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
