Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,82.77,16.3,36.9,35.1,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,1.0,34.4,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
15.02,82.93,20.83,36.9,36.2,47.7,45.7,68.2,37.8,37.8,69.1,0,0,0.0,1.0,0.0,0.981818182,69.1,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
30.02,83.37,20.69,36.9,37.3,45.4,45.6,48.2,39.3,39.3,39.8,0,0,0.0,0.96,0.0,0.963636364,39.8,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
45.02,84.06,20.55,37.0,37.7,40.4,40.8,40.8,39.4,39.4,38.9,0,0,0.0,0.96,0.0,0.963636364,38.9,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
60.02,84.15,20.27,37.0,37.8,39.0,39.1,39.2,39.2,39.2,38.6,0,0,0.0,0.96,0.0,0.945454545,38.6,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
75.02,84.19,20.0,37.0,37.9,38.5,38.6,38.7,38.9,38.9,38.4,0,0,0.0,0.92,0.0,0.927272727,38.4,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
90.02,84.17,19.74,37.0,37.9,38.2,38.3,38.4,38.6,38.6,38.3,0,0,0.0,0.92,0.0,0.927272727,38.3,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
105.02,84.13,19.61,37.0,37.9,38.0,38.1,38.2,38.3,38.3,38.1,0,0,0.0,0.92,0.0,0.909090909,38.1,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
120.02,84.08,19.48,37.0,37.9,37.9,37.9,38.1,38.1,38.1,38.0,0,0,0.0,0.92,0.0,0.890909091,38.0,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
135.02,84.03,19.35,37.0,37.9,37.8,37.8,38.0,37.9,37.9,37.9,0,0,0.0,0.92,0.0,0.890909091,37.9,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
150.02,83.97,19.35,37.0,37.9,37.7,37.7,37.9,37.8,37.8,37.8,0,0,0.0,0.9,0.0,0.890909091,37.8,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
165.02,83.94,19.23,37.0,37.8,37.6,37.6,37.8,37.7,37.7,37.7,0,0,0.0,0.88,0.0,0.890909091,37.7,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
180.02,83.88,19.23,37.0,37.8,37.5,37.5,37.7,37.6,37.6,37.7,0,0,0.0,0.88,0.0,0.890909091,37.7,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
195.02,83.83,19.23,37.0,37.7,37.5,37.5,37.7,37.5,37.5,37.6,0,0,0.0,0.88,0.0,0.890909091,37.6,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
210.02,83.81,19.23,37.1,37.7,37.4,37.4,37.6,37.5,37.5,37.6,0,0,0.0,0.9,0.0,0.890909091,37.6,absent,absent,normal,normal,wound,normal,normal,normal|abnormal,open,TRUE
