Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,92.0,15.46,36.9,35.4,35.1,35.1,35.1,35.4,35.4,34.4,0,0,0.0,1.0,0.0,1.0,34.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
15.02,92.18,20.27,36.9,35.5,37.1,36.7,36.7,35.7,49.2,66.3,0,0,0.0,0.978723404,0.0,0.980769231,66.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
30.02,92.69,20.27,36.9,36.0,38.0,38.0,38.0,36.6,47.7,38.6,0,0,0.0,0.978723404,0.0,0.980769231,38.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
45.02,92.99,20.0,36.9,36.4,38.0,38.0,38.0,37.1,43.0,38.0,0,0,0.0,0.957446809,0.0,0.961538462,38.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
60.02,93.11,19.74,36.9,36.6,37.9,37.9,37.9,37.3,40.6,37.7,0,0,0.0,0.936170213,0.0,0.942307692,37.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
75.02,93.16,19.48,36.9,36.8,37.6,37.6,37.6,37.4,39.3,37.5,0,0,0.0,0.936170213,0.0,0.923076923,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
90.02,93.15,19.23,36.9,36.9,37.3,37.4,37.4,37.4,38.6,37.4,0,0,0.0,0.914893617,0.0,0.923076923,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
105.02,93.11,18.99,37.0,37.0,37.2,37.2,37.2,37.3,38.3,37.3,0,0,0.0,0.893617021,0.0,0.923076923,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
120.02,93.07,18.87,37.0,37.0,37.1,37.1,37.1,37.2,38.1,37.3,0,0,0.0,0.893617021,0.0,0.903846154,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
135.02,93.02,18.75,37.0,37.0,37.0,37.0,37.0,37.1,38.0,37.2,0,0,0.0,0.893617021,0.0,0.884615385,37.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
150.02,92.94,18.63,37.0,37.0,36.9,36.9,36.9,37.0,37.9,37.2,0,0,0.0,0.893617021,0.0,0.884615385,37.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
165.02,92.89,18.63,37.0,37.0,36.9,36.9,36.9,37.0,37.8,37.1,0,0,0.0,0.893617021,0.0,0.884615385,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
180.02,92.84,18.63,37.0,37.0,36.8,36.8,36.8,36.9,37.8,37.1,0,0,0.0,0.893617021,0.0,0.884615385,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
195.02,92.77,18.63,37.0,37.0,36.8,36.8,36.8,36.9,37.7,37.1,0,0,0.0,0.893617021,0.0,0.884615385,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
210.02,92.74,18.63,37.0,37.0,36.8,36.8,36.8,36.9,37.7,37.1,0,0,0.0,0.893617021,0.0,0.884615385,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
225.02,92.73,18.75,37.0,37.0,36.8,36.8,36.8,36.9,37.7,37.0,0,0,0.0,0.893617021,0.0,0.884615385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
240.02,92.69,18.75,37.0,37.0,36.7,36.8,36.8,36.8,37.7,37.0,0,0,0.0,0.893617021,0.0,0.884615385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
255.02,92.68,18.75,37.0,37.0,36.7,36.7,36.7,36.8,37.6,37.0,0,0,0.0,0.893617021,0.0,0.884615385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
270.02,92.69,18.75,37.0,36.9,36.7,36.7,36.7,36.8,37.6,37.0,0,0,0.0,0.893617021,0.0,0.903846154,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
285.02,92.66,18.75,37.1,36.9,36.7,36.7,36.7,36.8,37.6,37.0,0,0,0.0,0.893617021,0.0,0.903846154,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
300.02,92.66,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.6,37.0,0,0,0.0,0.893617021,0.0,0.903846154,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
315.02,92.68,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.6,37.0,0,0,0.0,0.893617021,0.0,0.903846154,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
330.02,92.68,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.6,37.0,0,0,0.0,0.893617021,0.0,0.903846154,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
345.02,92.66,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.6,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
360.02,92.67,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
375.02,92.68,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
390.02,92.65,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
405.02,92.65,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
420.02,92.65,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
435.02,92.64,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
450.02,92.62,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
465.02,92.62,18.87,37.1,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
480.02,92.63,18.87,37.2,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
495.02,92.6,18.87,37.2,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
510.02,92.59,18.87,37.2,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
525.02,92.59,18.87,37.2,36.9,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
540.02,92.59,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
555.02,92.55,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
570.02,92.55,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
585.02,92.56,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
600.02,92.53,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
615.02,92.52,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
630.02,92.52,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
645.02,92.52,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
660.02,92.48,18.87,37.2,36.8,36.7,36.7,36.7,36.8,37.5,36.9,0,0,0.0,0.893617021,0.0,0.903846154,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
