Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,0,0,36.5,34.9,34.2,34.2,34.2,34.7,34.7,34.4,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
15.02,0,0,36.9,152.8,98.2,152.9,88.0,160.4,44.4,146.0,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
30.02,0,0,37.5,135.8,97.5,107.0,94.2,136.1,57.7,108.9,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
45.02,0,0,38.2,111.1,90.9,93.8,91.7,100.8,63.8,94.0,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
60.02,0,0,38.8,96.0,81.8,84.0,82.7,83.1,65.5,84.0,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
75.02,0,0,39.4,85.3,76.2,78.8,76.4,79.4,65.6,78.3,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
90.02,0,0,39.9,77.3,71.2,73.0,71.5,73.1,65.2,72.8,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
105.02,0,0,40.4,71.2,67.2,68.8,67.3,69.1,63.7,68.5,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
120.02,0,0,40.9,66.5,63.7,65.1,63.8,65.3,61.8,64.8,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
135.02,0,0,41.4,63.0,60.8,62.1,60.8,62.3,59.7,61.8,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
150.02,0,0,41.8,60.3,58.4,59.6,58.4,59.9,57.7,59.3,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
165.02,0,0,42.2,58.2,56.4,57.6,56.4,57.9,55.8,57.3,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
180.02,0,0,42.5,56.6,54.8,56.0,54.7,56.3,54.2,55.7,0,0.0,0,0,0,0,absent,absent,normal,normal,normal,normal,absent,absent,nt,TRUE
