Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,71.83,14.49,36.9,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0.0,0.0,0.0,0.9795918367346934,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
15.02,72.16,14.49,36.9,34.9,34.5,34.5,34.5,34.8,34.8,34.4,10.0,0.002,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
30.02,72.23,14.56,36.9,34.9,34.5,34.6,34.6,34.9,34.9,34.4,20.0,0.004,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
45.02,72.36,14.56,36.9,34.9,34.6,34.6,34.6,34.9,34.9,34.4,30.0,0.006,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
60.02,72.42,14.56,36.9,35.0,34.6,34.6,34.6,34.9,34.9,34.4,30.0,0.006,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
75.02,72.54,14.56,36.9,35.0,34.6,34.6,34.6,34.9,34.9,34.4,40.0,0.008,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
90.02,72.65,14.56,36.9,35.0,34.6,34.6,34.6,34.9,34.9,34.4,50.0,0.01,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
105.02,72.7,14.56,36.8,35.0,34.6,34.6,34.6,34.9,34.9,34.4,60.0,0.012,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
120.02,72.83,14.56,36.8,35.0,34.6,34.6,34.6,34.9,34.9,34.4,70.0,0.014,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
135.02,72.93,14.56,36.8,35.0,34.6,34.7,34.7,34.9,34.9,34.4,70.0,0.014,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
150.02,72.98,14.56,36.8,35.1,34.6,34.7,34.7,35.0,35.0,34.4,80.0,0.016,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
165.02,73.12,14.56,36.8,35.1,34.6,34.7,34.7,35.0,35.0,34.4,90.0,0.018,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
180.02,72.9,14.56,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,100.0,0.02,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
195.02,73.35,14.56,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,110.0,0.022,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
210.02,73.66,14.56,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,110.0,0.022,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
225.02,73.71,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,120.0,0.024,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
240.02,73.82,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,130.0,0.026,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
255.02,73.96,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,140.0,0.028,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
270.02,74.01,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,140.0,0.028,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
285.02,74.11,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,150.0,0.03,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
300.02,74.23,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,160.0,0.032,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
315.02,74.29,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,170.0,0.034,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
330.02,74.4,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,170.0,0.034,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
345.02,74.51,14.63,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,180.0,0.036,0.0,1.0,0.0,0.9642857142857142,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
360.02,74.57,14.71,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,190.0,0.038,0.0,1.0,0.0,1.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
375.02,74.67,14.71,36.8,35.1,34.7,34.7,34.7,35.0,35.0,34.4,200.0,0.04,0.0,1.0,0.0,1.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
