Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,65.86,15.23,36.9,35.0,34.8,34.8,34.8,35.0,35.0,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
15.02,65.75,15.23,36.9,35.1,34.8,34.8,34.8,35.0,35.0,34.4,0,0,0.0,1.0,0.0,1.0,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
30.02,65.74,15.31,36.9,35.1,34.8,34.9,34.9,35.0,35.0,34.4,0,0,0.0,1.0,0.0,1.0,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
45.02,65.71,15.31,36.9,35.1,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,1.0,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
60.02,65.67,15.31,36.9,35.1,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
75.02,65.6,15.23,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
90.02,65.54,15.23,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
105.02,65.5,15.23,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
120.02,65.51,15.15,36.9,35.2,34.9,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
135.02,65.48,15.15,36.9,35.2,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
150.02,65.43,15.15,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
165.02,65.38,15.15,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
180.02,65.36,15.08,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
195.02,65.38,15.08,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
210.02,65.35,15.08,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
225.02,65.3,15.08,36.9,35.3,35.0,35.0,35.0,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
240.02,65.28,15.08,36.9,35.3,35.0,35.1,35.1,35.2,35.2,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
255.02,65.3,15.08,36.9,35.3,35.0,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
270.02,65.3,15.08,36.9,35.3,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
285.02,65.28,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
300.02,65.25,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
315.02,65.27,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
330.02,65.27,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
345.02,65.28,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
360.02,65.24,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
375.02,65.23,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
390.02,65.24,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
405.02,65.26,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
420.02,65.17,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
435.02,64.96,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
450.02,65.2,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
465.02,65.05,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
480.02,65.04,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
495.02,65.01,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
510.02,64.99,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
525.02,65.0,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
540.02,65.02,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
555.02,65.02,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
570.02,64.98,15.15,36.9,35.4,35.1,35.1,35.1,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
585.02,64.97,15.15,36.9,35.5,35.1,35.2,35.2,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
600.02,64.98,15.15,36.9,35.5,35.1,35.2,35.2,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
615.02,65.0,15.15,36.9,35.5,35.1,35.2,35.2,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
630.02,64.99,15.15,36.9,35.5,35.1,35.2,35.2,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
645.02,64.95,15.15,36.9,35.5,35.1,35.2,35.2,35.3,35.3,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
660.02,64.94,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
675.02,64.95,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
690.02,64.97,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
705.02,64.96,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
720.02,64.92,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
735.02,64.91,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
750.02,64.92,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
765.02,64.94,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
780.02,64.92,15.23,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
795.02,64.89,15.23,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
810.02,64.91,15.23,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
825.02,64.93,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
840.02,64.91,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
855.02,64.87,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
870.02,64.85,15.15,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
885.02,64.86,15.23,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
900.02,64.88,15.23,36.9,35.5,35.1,35.2,35.2,35.4,35.4,34.4,0,0,0.0,1.0,0.0,0.984126984,absent,present|absent,normal,normal,normal,normal,abnormal,normal,closed,TRUE
